genome,completeness,contamination
uvig_202046.fasta,100,0
uvig_202047.fasta,100,0
uvig_202048.fasta,55.85,33.58
uvig_202051.fasta,79.8,0
uvig_202052.fasta,95.7,0
uvig_202057.fasta,28.58,0
uvig_202058.fasta,82.47,0
uvig_202059.fasta,49.34,0
uvig_202063.fasta,34.62,0
uvig_202065.fasta,63.01,0
uvig_202071.fasta,14.38,0
uvig_202072.fasta,13.52,0
uvig_202075.fasta,72.96,0
uvig_202077.fasta,34.53,0
uvig_202083.fasta,28.1,0
uvig_202085.fasta,39.03,0
uvig_20212.fasta,91.15,0
uvig_202124.fasta,100,0
uvig_202125.fasta,100,0
uvig_20213.fasta,70.3,0
uvig_202141.fasta,78.62,0
uvig_202143.fasta,100,0
uvig_202144.fasta,87.28,8.97
uvig_202145.fasta,83.47,0
uvig_202147.fasta,96.18,0
uvig_202149.fasta,100,0
uvig_202151.fasta,100,0
uvig_202152.fasta,19.76,0
uvig_202155.fasta,72.58,4.73
uvig_202156.fasta,100,0
uvig_202157.fasta,100,0
uvig_202158.fasta,100,0
uvig_202159.fasta,100,0
uvig_202160.fasta,86.4,0
uvig_202165.fasta,86.71,0
uvig_202168.fasta,25.95,0
uvig_202169.fasta,37.02,0
uvig_20217.fasta,98.99,0
uvig_202179.fasta,78.1,0
uvig_20218.fasta,0,0
uvig_202180.fasta,100,0
uvig_202181.fasta,100,0
uvig_202183.fasta,100,0
uvig_202185.fasta,65.99,0
uvig_202189.fasta,96.94,22.8
uvig_202190.fasta,100,0
uvig_202191.fasta,100,30.59
uvig_202192.fasta,100,4.63
uvig_202194.fasta,86.69,0
uvig_202195.fasta,93.94,0
uvig_202198.fasta,75.75,0
uvig_202199.fasta,54.56,0
uvig_202201.fasta,47.12,0
uvig_202202.fasta,51.59,0
uvig_202203.fasta,54.96,0
uvig_202206.fasta,60.32,0
uvig_202207.fasta,40.71,0
uvig_202208.fasta,44.07,0
uvig_202209.fasta,73.46,0
uvig_202211.fasta,30.31,23.7
uvig_202212.fasta,57.79,0
uvig_202215.fasta,36.9,0
uvig_202216.fasta,41.73,0
uvig_202219.fasta,46.6,0
uvig_202220.fasta,46.55,0
uvig_202221.fasta,29.5,0
uvig_202222.fasta,76.87,0
uvig_202229.fasta,39.75,0
uvig_202231.fasta,28.15,0
uvig_202260.fasta,100,0
uvig_202261.fasta,100,0
uvig_202273.fasta,35.82,0
uvig_202274.fasta,100,0
uvig_202275.fasta,86.98,0
uvig_202277.fasta,100,34.58
uvig_202278.fasta,72.21,0
uvig_202281.fasta,100,0
uvig_202282.fasta,47.55,0
uvig_202283.fasta,97.22,0
uvig_202284.fasta,100,13.04
uvig_202285.fasta,78.18,0
uvig_202286.fasta,78.31,0
uvig_202287.fasta,61.34,0
uvig_202289.fasta,70.88,0
uvig_202290.fasta,18.86,0
uvig_202297.fasta,15.38,0
uvig_202299.fasta,99.93,0
uvig_202300.fasta,100,0
uvig_202301.fasta,100,0
uvig_202302.fasta,98.87,0
uvig_202304.fasta,33.02,0
uvig_202305.fasta,68.51,0
uvig_202306.fasta,62.5,0
uvig_202307.fasta,14.41,0
uvig_20231.fasta,91.03,14.04
uvig_202318.fasta,100,0
uvig_202320.fasta,100,0
uvig_202321.fasta,100,0
uvig_202322.fasta,100,0
uvig_202324.fasta,100,0
uvig_202325.fasta,34.52,28.08
uvig_202326.fasta,68.47,0
uvig_202327.fasta,100,0
uvig_202329.fasta,37.84,0
uvig_20233.fasta,100,0
uvig_202331.fasta,78.48,0
uvig_202332.fasta,100,2.72
uvig_202333.fasta,62.67,0
uvig_202334.fasta,100,22.36
uvig_202336.fasta,73.27,25.32
uvig_202337.fasta,84.91,0
uvig_202338.fasta,97.37,16.2
uvig_202341.fasta,81.61,0
uvig_202342.fasta,96.18,0
uvig_202343.fasta,100,0
uvig_202344.fasta,100,0
uvig_202347.fasta,57.93,0
uvig_202348.fasta,89.03,0
uvig_20235.fasta,39.3,36.25
uvig_202350.fasta,35.62,52.34
uvig_202351.fasta,56.48,32.51
uvig_202352.fasta,75.42,0
uvig_202353.fasta,71.2,0
uvig_202355.fasta,33,0
uvig_202356.fasta,64.96,0
uvig_202357.fasta,74.16,0
uvig_202359.fasta,57.48,0
uvig_20236.fasta,53.44,0
uvig_202360.fasta,82.69,31.92
uvig_202362.fasta,48.74,10.61
uvig_202363.fasta,47.97,0
uvig_202364.fasta,57.86,0
uvig_202368.fasta,49.59,0
uvig_202369.fasta,30.12,0
uvig_202372.fasta,42.38,0
uvig_202374.fasta,41.83,0
uvig_202377.fasta,25.61,0
uvig_202378.fasta,58.52,0
uvig_202381.fasta,65.47,0
uvig_202385.fasta,35.01,0
uvig_202386.fasta,29.81,0
uvig_202388.fasta,34.62,0
uvig_202389.fasta,29.54,0
uvig_202391.fasta,28.48,0
uvig_202392.fasta,24.05,0
uvig_20240.fasta,32.75,0
uvig_20243.fasta,18.12,0
uvig_202438.fasta,100,0
uvig_202439.fasta,100,0
uvig_202441.fasta,14.68,29.41
uvig_202455.fasta,62.43,10.93
uvig_202459.fasta,100,6.43
uvig_202464.fasta,82.62,0
uvig_202470.fasta,73.14,0
uvig_202473.fasta,96.45,0
uvig_202474.fasta,100,0
uvig_202476.fasta,57.22,0
uvig_202477.fasta,100,19.36
uvig_202481.fasta,31.79,0
uvig_202483.fasta,36.81,0
uvig_202490.fasta,91.81,0
uvig_202491.fasta,98.24,31.23
uvig_202494.fasta,100,23.59
uvig_202498.fasta,100,0
uvig_202499.fasta,64.06,31.96
uvig_20250.fasta,84.91,0
uvig_202500.fasta,42.61,0
uvig_202501.fasta,100,10.91
uvig_202509.fasta,74.87,0
uvig_202512.fasta,47.85,0
uvig_202514.fasta,30.42,21.02
uvig_202515.fasta,50.88,0
uvig_202516.fasta,33.78,0
uvig_202518.fasta,33.8,0
uvig_202521.fasta,46,0
uvig_202522.fasta,28.05,0
uvig_202523.fasta,11.9,0
uvig_202540.fasta,80.7,0
uvig_202542.fasta,51.3,0
uvig_202547.fasta,96.44,0
uvig_20255.fasta,38.01,0
uvig_202550.fasta,90.53,0
uvig_202551.fasta,100,0
uvig_202556.fasta,71.77,12.78
uvig_202557.fasta,46.68,0
uvig_202558.fasta,29.03,0
uvig_202561.fasta,14.06,53.86
uvig_202563.fasta,33.62,0
uvig_202567.fasta,98.45,0
uvig_202569.fasta,32.79,0
uvig_202570.fasta,87.84,0
uvig_202571.fasta,44.15,0
uvig_202572.fasta,10.63,0
uvig_202583.fasta,100,0
uvig_202584.fasta,100,0
uvig_202587.fasta,100,0
uvig_202592.fasta,94.84,20.02
uvig_202593.fasta,100,0
uvig_202594.fasta,94.63,0
uvig_202595.fasta,57.54,0
uvig_202598.fasta,75.09,0
uvig_20260.fasta,36.56,0
uvig_202600.fasta,83.77,12.2
uvig_202601.fasta,54.99,0
uvig_202603.fasta,86.36,0
uvig_20261.fasta,100,0
uvig_202611.fasta,64.02,0
uvig_202612.fasta,53.64,0
uvig_202613.fasta,47.83,0
uvig_202617.fasta,25.69,0
uvig_202618.fasta,35.99,0
uvig_202622.fasta,83.37,0
uvig_202624.fasta,81.04,0
uvig_202626.fasta,16.09,0
uvig_202629.fasta,18.85,0
uvig_202633.fasta,17.23,0
uvig_202638.fasta,27.97,0
uvig_20264.fasta,57.66,4.06
uvig_20265.fasta,38.54,0
uvig_20267.fasta,90.49,0
uvig_202674.fasta,25.86,0
uvig_20268.fasta,63.54,0
uvig_202680.fasta,66.57,0
uvig_202685.fasta,84.46,10.31
uvig_202687.fasta,93,0
uvig_202689.fasta,82.77,0
uvig_20269.fasta,26.74,0
uvig_202690.fasta,77.05,0
uvig_202697.fasta,100,0
uvig_202698.fasta,100,10.46
uvig_20270.fasta,92.36,0
uvig_202700.fasta,100,0
uvig_202702.fasta,74.99,0
uvig_202704.fasta,23.94,0
uvig_202706.fasta,46.68,0
uvig_202714.fasta,63.31,0
uvig_202715.fasta,8.83,0
uvig_202744.fasta,100,0
uvig_202745.fasta,100,0
uvig_202746.fasta,97.39,0
uvig_202747.fasta,100,0
uvig_202750.fasta,59.24,0
uvig_202754.fasta,32.52,0
uvig_202755.fasta,87.19,0
uvig_202758.fasta,99.44,0
uvig_202759.fasta,100,18.33
uvig_202760.fasta,100,13.78
uvig_202761.fasta,87.98,0
uvig_202762.fasta,83.15,16
uvig_202763.fasta,91.85,13.52
uvig_202766.fasta,64.49,0
uvig_202768.fasta,54.45,0
uvig_202770.fasta,47.02,0
uvig_202773.fasta,39.01,28.01
uvig_202774.fasta,90.22,0
uvig_202775.fasta,47.59,0
uvig_202777.fasta,16.18,0
uvig_202781.fasta,47.06,27.74
uvig_202782.fasta,35.99,0
uvig_202783.fasta,55.38,19.21
uvig_202784.fasta,35.84,17.74
uvig_202785.fasta,74.69,0
uvig_202788.fasta,33.29,0
uvig_202789.fasta,38.44,0
uvig_202790.fasta,40.69,0
uvig_202791.fasta,11.3,0
uvig_202793.fasta,25.18,0
uvig_202797.fasta,26.59,0
uvig_202798.fasta,26.25,0
uvig_202799.fasta,34.35,0
uvig_202810.fasta,7.2,0
uvig_202813.fasta,6.68,0
uvig_202815.fasta,18.59,0
uvig_202818.fasta,16.53,0
uvig_202820.fasta,14.07,0
uvig_202861.fasta,100,21.57
uvig_202865.fasta,92.24,0
uvig_202868.fasta,87.9,0
uvig_202869.fasta,100,0
uvig_202872.fasta,24.42,0
uvig_202873.fasta,28.62,0
uvig_202877.fasta,44.72,0
uvig_202878.fasta,31.51,0
uvig_202879.fasta,44.47,10.2
uvig_20288.fasta,100,0
uvig_202880.fasta,100,0
uvig_202882.fasta,69,0
uvig_202886.fasta,0,0
uvig_202887.fasta,63.85,0
uvig_202888.fasta,38.87,0
uvig_202889.fasta,86.85,0
uvig_20289.fasta,100,0
uvig_20290.fasta,100,0
uvig_202908.fasta,100,0
uvig_202909.fasta,100,0
uvig_20291.fasta,100,0
uvig_202911.fasta,82.9,0
uvig_202912.fasta,95.85,9.56
uvig_202914.fasta,99.06,0
uvig_202916.fasta,86.62,16.79
uvig_202917.fasta,81.73,19.51
uvig_202918.fasta,98.48,0
uvig_202919.fasta,90.08,14.52
uvig_202922.fasta,100,4.52
uvig_202925.fasta,57.73,0
uvig_202926.fasta,57.7,15.26
uvig_202928.fasta,61.89,0
uvig_20293.fasta,99.3,0
uvig_202931.fasta,69.94,0
uvig_202933.fasta,45.84,0
uvig_202934.fasta,62.69,0
uvig_202935.fasta,48.84,0
uvig_202936.fasta,38.83,0
uvig_202938.fasta,40.27,0
uvig_20294.fasta,51.73,0
uvig_202940.fasta,73.06,0
uvig_202944.fasta,21.89,31.33
uvig_202945.fasta,47.24,0
uvig_202946.fasta,26.43,20.87
uvig_202947.fasta,62.21,0
uvig_202950.fasta,21.93,0
uvig_202951.fasta,30.89,0
uvig_202956.fasta,29.52,0
uvig_20297.fasta,79.82,0
uvig_202985.fasta,100,0
uvig_20300.fasta,100,0
uvig_203000.fasta,62.24,0
uvig_203001.fasta,91.93,0
uvig_203002.fasta,60.88,11.53
uvig_203003.fasta,78.7,0
uvig_203006.fasta,48.22,0
uvig_203010.fasta,100,0
uvig_203011.fasta,100,3.28
uvig_203012.fasta,100,0
uvig_203013.fasta,100,0
uvig_20302.fasta,84.08,0
uvig_20303.fasta,75.73,40.9
uvig_203033.fasta,100,0
uvig_203034.fasta,100,37.53
uvig_203035.fasta,90.59,0
uvig_203036.fasta,80.16,37.57
uvig_203037.fasta,77.6,22.03
uvig_203038.fasta,30.9,0
uvig_203039.fasta,58.18,0
uvig_203040.fasta,100,0
uvig_203043.fasta,76.31,0
uvig_203044.fasta,100,0
uvig_203045.fasta,57.39,0
uvig_203048.fasta,18.75,0
uvig_203053.fasta,41.51,16.09
uvig_203054.fasta,33.76,0
uvig_203055.fasta,39.45,0
uvig_20306.fasta,100,0
uvig_203061.fasta,38.95,0
uvig_203064.fasta,28.36,0
uvig_203067.fasta,23.17,0
uvig_203069.fasta,30.12,0
uvig_203071.fasta,86.27,0
uvig_203078.fasta,29.33,0
uvig_203105.fasta,50.6,0
uvig_20311.fasta,47.29,0
uvig_203110.fasta,100,0
uvig_203111.fasta,100,0
uvig_203113.fasta,88.4,0
uvig_203116.fasta,86.26,0
uvig_203118.fasta,98.8,0
uvig_203119.fasta,89.97,0
uvig_203120.fasta,100,9.45
uvig_203124.fasta,100,9.03
uvig_203126.fasta,91.14,0
uvig_203128.fasta,54.09,0
uvig_203129.fasta,53.78,0
uvig_20313.fasta,20.34,46.64
uvig_203135.fasta,99.71,0
uvig_203137.fasta,90.69,0
uvig_203138.fasta,31.58,0
uvig_203139.fasta,46.66,0
uvig_20315.fasta,12.57,0
uvig_203159.fasta,100,0
uvig_203160.fasta,100,0
uvig_203161.fasta,77.14,0
uvig_203164.fasta,93.85,0
uvig_203166.fasta,71.02,0
uvig_203167.fasta,72.05,0
uvig_20317.fasta,20.98,38.32
uvig_203177.fasta,70.07,0
uvig_203180.fasta,38.29,0
uvig_203185.fasta,56.88,0
uvig_203187.fasta,40.41,0
uvig_203189.fasta,35.83,0
uvig_203192.fasta,36.54,0
uvig_203196.fasta,9.93,0
uvig_203197.fasta,24.85,0
uvig_203198.fasta,42.92,0
uvig_203199.fasta,9.57,0
uvig_203202.fasta,11.16,0
uvig_203204.fasta,18.92,0
uvig_203205.fasta,7.69,0
uvig_203234.fasta,58.08,0
uvig_203248.fasta,76.66,0
uvig_203249.fasta,36.81,0
uvig_203251.fasta,28.33,0
uvig_203253.fasta,47.07,0
uvig_203254.fasta,94.45,0
uvig_203255.fasta,63.55,0
uvig_203262.fasta,28.09,0
uvig_203263.fasta,29.15,0
uvig_203269.fasta,99.43,0
uvig_20327.fasta,22.27,0
uvig_203272.fasta,58.22,0
uvig_203292.fasta,100,3.99
uvig_203293.fasta,98.44,4.41
uvig_203295.fasta,100,34.73
uvig_203298.fasta,97.93,5.31
uvig_203300.fasta,99.27,0
uvig_203302.fasta,100,18.62
uvig_203308.fasta,29.54,0
uvig_203310.fasta,97.99,25.47
uvig_203315.fasta,64.68,0
uvig_203321.fasta,37.47,0
uvig_203323.fasta,51.82,0
uvig_203326.fasta,49.62,0
uvig_203330.fasta,48.43,9.77
uvig_203335.fasta,13.21,0
uvig_203336.fasta,43.75,0
uvig_203343.fasta,39.99,0
uvig_203351.fasta,25.84,0
uvig_203354.fasta,46.98,0
uvig_203364.fasta,23.8,0
uvig_203414.fasta,54.14,0
uvig_203416.fasta,100,0
uvig_203418.fasta,69.62,0
uvig_203419.fasta,100,0
uvig_203421.fasta,58.89,0
uvig_203423.fasta,91.8,0
uvig_203425.fasta,98.89,0
uvig_203428.fasta,72.2,0
uvig_203429.fasta,88.38,0
uvig_20343.fasta,100,0
uvig_203430.fasta,100,0
uvig_203434.fasta,86.91,0
uvig_203440.fasta,51.72,0
uvig_203444.fasta,100,0
uvig_203448.fasta,100,9.77
uvig_203450.fasta,28.54,0
uvig_203462.fasta,100,0
uvig_203463.fasta,100,0
uvig_203466.fasta,100,0
uvig_203467.fasta,98.54,0
uvig_203472.fasta,97.98,9.69
uvig_203474.fasta,100,0
uvig_203476.fasta,100,16.72
uvig_203478.fasta,70,6.73
uvig_203479.fasta,82.03,0
uvig_203483.fasta,100,0
uvig_203484.fasta,79.01,14.12
uvig_203485.fasta,98.85,0
uvig_203487.fasta,63.31,0
uvig_203488.fasta,95.92,0
uvig_203490.fasta,35.12,39.64
uvig_203491.fasta,30.33,45.43
uvig_203492.fasta,100,0
uvig_203495.fasta,51.03,0
uvig_203498.fasta,56.05,0
uvig_203501.fasta,18.49,58.15
uvig_203508.fasta,21.15,0
uvig_203509.fasta,28.79,0
uvig_203515.fasta,23.62,0
uvig_203544.fasta,34.84,0
uvig_203552.fasta,75.79,0
uvig_203555.fasta,100,0
uvig_203557.fasta,99.4,0
uvig_203558.fasta,98.5,0
uvig_203564.fasta,30.06,0
uvig_203570.fasta,100,0
uvig_203571.fasta,67.3,0
uvig_203573.fasta,63.09,0
uvig_203575.fasta,15.46,0
uvig_203578.fasta,28.52,0
uvig_20358.fasta,100,0
uvig_203580.fasta,45.7,0
uvig_203581.fasta,97.5,0
uvig_20359.fasta,99.04,0
uvig_203595.fasta,100,0
uvig_203599.fasta,100,21.14
uvig_203600.fasta,97.86,25.28
uvig_203603.fasta,55.92,13.26
uvig_203604.fasta,86,0
uvig_203605.fasta,64.27,0
uvig_203607.fasta,84.27,0
uvig_203608.fasta,56.24,0
uvig_203609.fasta,96.61,0
uvig_20361.fasta,42.87,0
uvig_203610.fasta,79.93,0
uvig_203611.fasta,92.84,7.15
uvig_203612.fasta,47.6,14.33
uvig_203615.fasta,100,0
uvig_203616.fasta,80.25,0
uvig_203617.fasta,79.56,21.27
uvig_203620.fasta,77.08,0
uvig_203624.fasta,66.93,0
uvig_203625.fasta,71.88,0
uvig_203626.fasta,27.48,46.02
uvig_203627.fasta,49.4,0
uvig_203630.fasta,69.42,0
uvig_203635.fasta,25.41,28.45
uvig_203638.fasta,25.95,0
uvig_203643.fasta,37.27,8.36
uvig_203644.fasta,52.51,0
uvig_203649.fasta,36.69,0
uvig_203651.fasta,15.33,0
uvig_203655.fasta,15.34,0
uvig_203656.fasta,24.48,0
uvig_203659.fasta,27.4,0
uvig_203670.fasta,100,0
uvig_203671.fasta,97.57,0
uvig_203688.fasta,67.97,0
uvig_203689.fasta,92.96,9.96
uvig_20369.fasta,38.14,0
uvig_203691.fasta,100,0
uvig_203693.fasta,89.29,10.56
uvig_203694.fasta,100,0
uvig_203700.fasta,99.01,0
uvig_203701.fasta,71.67,0
uvig_203703.fasta,90.33,19.66
uvig_203704.fasta,58.38,0
uvig_203706.fasta,27.96,0
uvig_203709.fasta,62.41,0
uvig_20371.fasta,55.52,0
uvig_203711.fasta,31.85,0
uvig_203713.fasta,19.2,0
uvig_203714.fasta,10.63,0
uvig_203716.fasta,25.87,0
uvig_20374.fasta,100,27.82
uvig_203741.fasta,100,0
uvig_203744.fasta,100,16.73
uvig_203748.fasta,84.65,0
uvig_203749.fasta,100,12.48
uvig_203750.fasta,100,16.15
uvig_203752.fasta,100,19.9
uvig_203754.fasta,99.75,0
uvig_203758.fasta,63.68,0
uvig_203764.fasta,52.79,0
uvig_203767.fasta,84.59,0
uvig_203769.fasta,72.03,0
uvig_203770.fasta,45.37,0
uvig_203774.fasta,68.1,0
uvig_203778.fasta,63.62,0
uvig_203779.fasta,63.3,0
uvig_203784.fasta,32.2,20.39
uvig_203785.fasta,36.42,0
uvig_203786.fasta,47.97,0
uvig_20379.fasta,25.04,0
uvig_203790.fasta,32.09,0
uvig_203793.fasta,20.16,0
uvig_203796.fasta,37.29,0
uvig_203797.fasta,33.26,0
uvig_2038.fasta,100,7.53
uvig_203802.fasta,24.87,0
uvig_203803.fasta,30.32,0
uvig_203807.fasta,15.62,0
uvig_203808.fasta,22.16,0
uvig_20384.fasta,100,2.98
uvig_203840.fasta,49.83,0
uvig_203847.fasta,66.11,0
uvig_203848.fasta,100,31.66
uvig_203850.fasta,58.48,0
uvig_203851.fasta,65.94,0
uvig_203853.fasta,74.92,0
uvig_203854.fasta,12.45,0
uvig_203856.fasta,35.53,0
uvig_203857.fasta,100,0
uvig_203858.fasta,82.15,0
uvig_203859.fasta,100,0
uvig_20386.fasta,60.39,11.52
uvig_203860.fasta,100,0
uvig_203861.fasta,17.78,0
uvig_203864.fasta,16.67,0
uvig_203876.fasta,100,0
uvig_203877.fasta,100,0
uvig_20388.fasta,58.8,10.81
uvig_203881.fasta,79.27,0
uvig_203883.fasta,73.16,0
uvig_203885.fasta,91.78,18.98
uvig_203886.fasta,100,5.33
uvig_203888.fasta,91.64,0
uvig_203889.fasta,42.34,0
uvig_20389.fasta,71.04,0
uvig_203891.fasta,38.27,0
uvig_203897.fasta,39.81,0
uvig_203898.fasta,24.86,27.9
uvig_203904.fasta,45.35,9.66
uvig_203905.fasta,43.06,0
uvig_203911.fasta,19.1,0
uvig_20392.fasta,51.74,0
uvig_203930.fasta,24.7,0
uvig_203931.fasta,29.13,0
uvig_203937.fasta,95.3,0
uvig_203938.fasta,100,0
uvig_203939.fasta,68.43,0
uvig_203940.fasta,100,0
uvig_203941.fasta,84.5,0
uvig_203946.fasta,100,0
uvig_203947.fasta,51.1,0
uvig_203959.fasta,100,0
uvig_203964.fasta,67.1,0
uvig_203967.fasta,100,4.43
uvig_203969.fasta,100,0
uvig_203970.fasta,100,27.29
uvig_203971.fasta,63.42,25.07
uvig_203975.fasta,98.72,0
uvig_203977.fasta,48.12,0
uvig_203979.fasta,39.73,40.4
uvig_20398.fasta,23.62,0
uvig_203982.fasta,13.12,0
uvig_203984.fasta,26.91,0
uvig_203985.fasta,40.97,0
uvig_203986.fasta,26.44,0
uvig_203988.fasta,16.74,0
uvig_203991.fasta,32.59,0
uvig_203993.fasta,18.59,0
uvig_203997.fasta,16.72,0
uvig_204.fasta,90.71,28.63
uvig_2040.fasta,55.43,18.04
uvig_204000.fasta,10.72,0
uvig_204023.fasta,100,0
uvig_204024.fasta,52.31,0
uvig_204037.fasta,100,38.71
uvig_204038.fasta,39.22,0
uvig_204039.fasta,100,18.08
uvig_204040.fasta,96.83,0
uvig_204044.fasta,52.69,0
uvig_204046.fasta,36.9,0
uvig_204047.fasta,100,0
uvig_204049.fasta,28.23,0
uvig_204050.fasta,35.17,0
uvig_204052.fasta,51.73,0
uvig_204055.fasta,100,0
uvig_204058.fasta,100,0
uvig_204059.fasta,100,0
uvig_204060.fasta,93.5,0
uvig_204061.fasta,100,0
uvig_204062.fasta,97.55,0
uvig_204064.fasta,36.87,0
uvig_204066.fasta,44.86,0
uvig_204067.fasta,100,0
uvig_204071.fasta,14.83,0
uvig_204073.fasta,22.88,0
uvig_204077.fasta,8.19,0
uvig_204099.fasta,100,0
uvig_204101.fasta,100,0
uvig_204102.fasta,100,0
uvig_204103.fasta,100,0
uvig_204104.fasta,100,0
uvig_204105.fasta,100,15.84
uvig_204107.fasta,100,0
uvig_204108.fasta,38.89,0
uvig_204109.fasta,100,15.91
uvig_204111.fasta,44.68,35.64
uvig_204113.fasta,100,0
uvig_204116.fasta,92.92,12.45
uvig_204117.fasta,69.05,30.92
uvig_204118.fasta,75.04,0
uvig_204119.fasta,27.93,4.54
uvig_20412.fasta,64.18,0
uvig_204122.fasta,100,10.2
uvig_204124.fasta,87.12,0
uvig_204125.fasta,76.41,4.9
uvig_204127.fasta,47.86,0
uvig_204128.fasta,32.22,0
uvig_204129.fasta,90.72,0
uvig_204130.fasta,69.68,12.39
uvig_204131.fasta,44.17,0
uvig_204132.fasta,57.3,0
uvig_204133.fasta,66.55,0
uvig_204137.fasta,25.43,33.07
uvig_204138.fasta,52.89,0
uvig_20414.fasta,13.73,0
uvig_204142.fasta,32.47,23.61
uvig_204145.fasta,45.43,0
uvig_20415.fasta,91.56,0
uvig_204150.fasta,32.13,18.99
uvig_204153.fasta,37.48,0
uvig_204157.fasta,46.08,0
uvig_204160.fasta,28.91,0
uvig_204161.fasta,56.73,0
uvig_204165.fasta,100,0
uvig_204218.fasta,80.34,0
uvig_20423.fasta,50.53,0
uvig_204231.fasta,61.31,0
uvig_204233.fasta,91.29,0
uvig_204235.fasta,60.66,0
uvig_204237.fasta,100,0
uvig_204238.fasta,34.27,67.14
uvig_204239.fasta,0,0
uvig_204240.fasta,100,0
uvig_204243.fasta,97.63,0
uvig_204248.fasta,29.64,0
uvig_204250.fasta,60.54,0
uvig_204253.fasta,63.2,0
uvig_204260.fasta,100,0
uvig_204262.fasta,13.06,0
uvig_204276.fasta,100,0
uvig_204277.fasta,96.53,6.3
uvig_204281.fasta,83.74,27.87
uvig_204287.fasta,99.22,0
uvig_204288.fasta,100,0
uvig_204291.fasta,89.71,0
uvig_204292.fasta,83.25,0
uvig_204293.fasta,82.85,0
uvig_204296.fasta,54.6,0
uvig_204297.fasta,73.66,12.65
uvig_204298.fasta,89.22,0
uvig_204299.fasta,96.65,0
uvig_204300.fasta,66.69,0
uvig_204305.fasta,53.45,0
uvig_204309.fasta,28.22,0
uvig_204310.fasta,43.06,0
uvig_204315.fasta,44.76,0
uvig_204316.fasta,37.9,0
uvig_204317.fasta,42.51,0
uvig_20432.fasta,30.21,0
uvig_204320.fasta,45.53,0
uvig_204329.fasta,25.23,32.14
uvig_204331.fasta,40.62,0
uvig_204337.fasta,16.98,0
uvig_20437.fasta,94.83,0
uvig_204376.fasta,96.95,0
uvig_20439.fasta,40.09,20.58
uvig_204393.fasta,58.03,0
uvig_204394.fasta,100,0
uvig_204395.fasta,94.2,0
uvig_204396.fasta,83.98,0
uvig_204397.fasta,90.71,34.48
uvig_204399.fasta,100,0
uvig_204406.fasta,100,0
uvig_204407.fasta,97.19,0
uvig_204408.fasta,100,0
uvig_204409.fasta,100,4.72
uvig_20441.fasta,29.83,0
uvig_204410.fasta,98.86,0
uvig_204411.fasta,57.23,0
uvig_204412.fasta,100,0
uvig_204418.fasta,35.17,0
uvig_204419.fasta,69.73,0
uvig_204422.fasta,6.77,0
uvig_20443.fasta,61.48,0
uvig_204444.fasta,100,0
uvig_204445.fasta,100,0
uvig_204447.fasta,100,0
uvig_204450.fasta,61.03,0
uvig_204454.fasta,91.09,0
uvig_204455.fasta,40.42,0
uvig_204456.fasta,34.05,0
uvig_204457.fasta,84.3,0
uvig_204461.fasta,91.58,3.08
uvig_204462.fasta,33.28,0
uvig_204463.fasta,59.38,0
uvig_204464.fasta,54.98,0
uvig_204467.fasta,55.44,0
uvig_20447.fasta,18.22,0
uvig_204472.fasta,3.73,82.14
uvig_204474.fasta,97.13,0
uvig_204479.fasta,8.34,0
uvig_20448.fasta,31.3,0
uvig_204480.fasta,27.53,0
uvig_204485.fasta,18.13,0
uvig_204486.fasta,38.37,0
uvig_204488.fasta,23.42,0
uvig_204489.fasta,19.85,0
uvig_20449.fasta,17.03,0
uvig_204494.fasta,24.54,0
uvig_204495.fasta,18.78,0
uvig_204496.fasta,17.04,0
uvig_20451.fasta,61.82,0
uvig_204519.fasta,100,0
uvig_204520.fasta,100,0
uvig_204523.fasta,96.43,0
uvig_204524.fasta,72.9,0
uvig_204526.fasta,27.7,0
uvig_204527.fasta,22.84,0
uvig_20453.fasta,38.11,0
uvig_204531.fasta,71.9,0
uvig_204532.fasta,100,0
uvig_204533.fasta,100,0
uvig_204535.fasta,36.33,0
uvig_204537.fasta,75.04,0
uvig_204539.fasta,99.01,0
uvig_204541.fasta,98.99,0
uvig_204543.fasta,86.54,0
uvig_204553.fasta,47.45,0
uvig_204555.fasta,44.82,0
uvig_204556.fasta,22.02,0
uvig_204561.fasta,29.92,0
uvig_204562.fasta,100,6.15
uvig_204563.fasta,77.99,0
uvig_204564.fasta,29.91,0
uvig_204565.fasta,23.61,0
uvig_204567.fasta,100,0
uvig_204568.fasta,0,0
uvig_204569.fasta,24.24,0
uvig_204571.fasta,0,0
uvig_204572.fasta,12.73,0
uvig_204575.fasta,0,0
uvig_204576.fasta,0,0
uvig_204577.fasta,33.19,0
uvig_204578.fasta,100,0
uvig_204580.fasta,99.72,0
uvig_204581.fasta,0,0
uvig_204583.fasta,23.68,0
uvig_204612.fasta,100,0
uvig_204613.fasta,100,0
uvig_204614.fasta,100,0
uvig_204615.fasta,100,0
uvig_204616.fasta,100,0
uvig_204618.fasta,82.71,0
uvig_204620.fasta,69.87,0
uvig_204621.fasta,70.96,0
uvig_204623.fasta,52.33,0
uvig_204625.fasta,48.37,0
uvig_204626.fasta,100,16.8
uvig_204627.fasta,100,0
uvig_204631.fasta,100,0
uvig_204634.fasta,54.38,26.45
uvig_204635.fasta,97.76,0
uvig_204636.fasta,99.69,0
uvig_204641.fasta,63.11,0
uvig_204644.fasta,44.88,29.72
uvig_204645.fasta,98.04,0
