"","Accession","bac.host","total.ParS.hits","pos.ParS.hit"
"4590","LR596903","Pseudomonadota",0,0
"4591","LR597635","Actinomycetota",0,0
"4592","LR597636","Actinomycetota",0,0
"4593","LR597637","Actinomycetota",0,0
"4594","LR597638","Actinomycetota",0,0
"4595","LR597639","Actinomycetota",0,0
"4596","LR597640","Actinomycetota",0,0
"4597","LR597641","Actinomycetota",0,0
"4598","LR597642","Actinomycetota",0,0
"4599","LR597643","Actinomycetota",0,0
"4600","LR597644","Actinomycetota",0,0
"4601","LR597645","Actinomycetota",0,0
"4602","LR597646","Actinomycetota",0,0
"4603","LR597647","Actinomycetota",0,0
"4604","LR597648","Actinomycetota",0,0
"4605","LR597649","Actinomycetota",0,0
"4606","LR597650","Actinomycetota",0,0
"4607","LR597651","Actinomycetota",0,0
"4608","LR597652","Actinomycetota",0,0
"4609","LR597653","Actinomycetota",0,0
"4610","LR597654","Actinomycetota",0,0
"4611","LR597655","Actinomycetota",0,0
"4612","LR597656","Actinomycetota",0,0
"4613","LR597657","Actinomycetota",0,0
"4614","LR597658","Actinomycetota",0,0
"4615","LR597659","Actinomycetota",0,0
"4616","LR597660","Actinomycetota",0,0
"4617","LR597663","Actinomycetota",0,0
"4618","LR694165","Actinomycetota",0,0
"4619","LR694610","Actinomycetota",0,0
"4620","LR694611","Actinomycetota",0,0
"4621","LR699048","Actinomycetota",0,0
"4622","LR699804","Actinomycetota",0,0
"4623","LR743523","Actinomycetota",0,0
"4624","LR743524","Actinomycetota",0,0
"4625","LR743528","Actinomycetota",0,0
"4626","LR743529","Actinomycetota",0,0
"4627","LR743530","Actinomycetota",0,0
"4628","LR743531","Actinomycetota",0,0
"4629","LR743532","Actinomycetota",0,0
"4630","LR745706","Actinomycetota",0,0
"4631","LR745707","Actinomycetota",0,0
"4632","LR745708","Actinomycetota",0,0
"4633","LR745709","Actinomycetota",0,0
"4634","LR745710","Actinomycetota",0,0
"4635","LR746137","Actinomycetota",0,0
"4636","LR746310","Actinomycetota",0,0
"4637","LR757892","Actinomycetota",0,0
"4638","LR778216","Actinomycetota",0,0
"4639","LR794124","Actinomycetota",0,0
"4640","LR794148","Actinomycetota",0,0
"4641","LR800396","Actinomycetota",0,0
"4642","LR811967","Actinomycetota",0,0
"4643","LR811968","Actinomycetota",0,0
"4644","LR811969","Actinomycetota",0,0
"4645","LR813619","Actinomycetota",0,0
"4646","LR865361","Actinomycetota",0,0
"4647","LR877331","Actinomycetota",0,0
"4648","LR880803","Actinomycetota",0,0
"4649","LR881103","Actinomycetota",0,0
"4650","LR881104","Actinomycetota",0,0
"4651","LR990702","Actinomycetota",0,0
"4652","LR990704","Actinomycetota",0,0
"4653","LR990833","Pseudomonadota",0,0
"4654","LR990834","Pseudomonadota",2,1
"4655","LR990835","Pseudomonadota",0,0
"4656","LR991625","Pseudomonadota",0,0
"4657","LR999870","Actinomycetota",0,0
"4658","LR999871","Actinomycetota",0,0
"4659","LT546029","Pseudomonadota",0,0
"4660","LT594300","Actinomycetota",0,0
"4661","LT600745","Pseudomonadota",1,1
"4662","LT603033","Actinomycetota",0,0
"4663","LT603684","Actinomycetota",0,0
"4664","LT607758","Actinomycetota",0,0
"4665","LT608331","Actinomycetota",0,0
"4666","LT614807","Actinomycetota",0,0
"4667","LT615366","Pseudomonadota",0,0
"4668","LT630001","Pseudomonadota",0,0
"4669","LT841304","Actinomycetota",0,0
"4670","LT907986","Actinomycetota",0,0
"4671","LT960551","Actinomycetota",0,0
"4672","LT960552","Actinomycetota",0,0
"4673","LT960606","Actinomycetota",0,0
"4674","LT960607","Actinomycetota",0,0
"4675","LT960608","Pseudomonadota",0,0
"4676","LT960609","Actinomycetota",0,0
"4677","LT960610","Pseudomonadota",0,0
"4678","LT961732","Actinomycetota",0,0
"4679","LT961836","Actinomycetota",0,0
"4680","LT961837","Actinomycetota",0,0
"4681","LT961838","Actinomycetota",0,0
"4682","LT961840","Actinomycetota",0,0
"4683","LT961841","Actinomycetota",0,0
"4684","LT961842","Actinomycetota",0,0
"4685","LT961843","Actinomycetota",0,0
"4686","LT961844","Actinomycetota",0,0
"4687","LT961845","Actinomycetota",0,0
"4688","LT961846","Actinomycetota",0,0
"4689","LT962379","Actinomycetota",0,0
"4690","LT962380","Actinomycetota",0,0
"4691","LT962475","Actinomycetota",0,0
"4692","LT962906","Actinomycetota",0,0
"4693","LT962907","Actinomycetota",0,0
"4694","LT986460","Actinomycetota",0,0
"4695","LT992259","Actinomycetota",0,0
"4696","LT999987","Actinomycetota",0,0
"4697","MF001354","Actinomycetota",0,0
"4698","MF001355","Actinomycetota",0,0
"4699","MF001356","Actinomycetota",0,0
"4700","MF001358","Pseudomonadota",0,0
"4701","MF001359","Actinomycetota",0,0
"4702","MF001360","Actinomycetota",0,0
"4703","MF001362","Actinomycetota",0,0
"4704","MF001363","Actinomycetota",0,0
"4705","MF001365","Pseudomonadota",0,0
"4706","MF001366","Actinomycetota",0,0
"4707","MF001367","Pseudomonadota",0,0
"4708","MF033347","Actinomycetota",0,0
"4709","MF033348","Actinomycetota",0,0
"4710","MF033349","Actinomycetota",0,0
"4711","MF033350","Actinomycetota",0,0
"4712","MF033351","Actinomycetota",0,0
"4713","MF034659","Actinomycetota",0,0
"4714","MF036690","Actinomycetota",0,0
"4715","MF036691","Actinomycetota",0,0
"4716","MF036692","Actinomycetota",0,0
"4717","MF038790","Pseudomonadota",0,0
"4718","MF038791","Pseudomonadota",0,0
"4719","MF041990","Pseudomonadota",0,0
"4720","MF042360","Actinomycetota",0,0
"4721","MF042361","Actinomycetota",0,0
"4722","MF044457","Actinomycetota",0,0
"4723","MF044458","Actinomycetota",0,0
"4724","MF063068","Actinomycetota",0,0
"4725","MF072690","Pseudomonadota",0,0
"4726","MF074189","Actinomycetota",0,0
"4727","MF098558","Actinomycetota",0,0
"4728","MF101922","Actinomycetota",0,0
"4729","MF133445","Pseudomonadota",0,0
"4730","MF133446","Pseudomonadota",0,0
"4731","MF140397","Pseudomonadota",0,0
"4732","MF140398","Pseudomonadota",0,0
"4733","MF140399","Pseudomonadota",0,0
"4734","MF140400","Pseudomonadota",0,0
"4735","MF140401","Pseudomonadota",0,0
"4736","MF140402","Pseudomonadota",0,0
"4737","MF140403","Pseudomonadota",0,0
"4738","MF140404","Pseudomonadota",1,1
"4739","MF140405","Pseudomonadota",0,0
"4740","MF140406","Pseudomonadota",0,0
"4741","MF140407","Pseudomonadota",0,0
"4742","MF140408","Pseudomonadota",0,0
"4743","MF140409","Pseudomonadota",0,0
"4744","MF140410","Pseudomonadota",0,0
"4745","MF140411","Pseudomonadota",0,0
"4746","MF140412","Pseudomonadota",0,0
"4747","MF140413","Pseudomonadota",0,0
"4748","MF140414","Pseudomonadota",0,0
"4749","MF140415","Pseudomonadota",0,0
"4750","MF140416","Pseudomonadota",0,0
"4751","MF140417","Pseudomonadota",0,0
"4752","MF140418","Pseudomonadota",0,0
"4753","MF140419","Pseudomonadota",0,0
"4754","MF140420","Pseudomonadota",0,0
"4755","MF140421","Pseudomonadota",0,0
"4756","MF140422","Pseudomonadota",0,0
"4757","MF140423","Pseudomonadota",0,0
"4758","MF140424","Pseudomonadota",1,1
"4759","MF140425","Pseudomonadota",1,1
"4760","MF140426","Pseudomonadota",0,0
"4761","MF140427","Pseudomonadota",0,0
"4762","MF140428","Pseudomonadota",0,0
"4763","MF140429","Pseudomonadota",0,0
"4764","MF140430","Pseudomonadota",0,0
"4765","MF140431","Pseudomonadota",0,0
"4766","MF140432","Pseudomonadota",0,0
"4767","MF140433","Pseudomonadota",0,0
"4768","MF140434","Pseudomonadota",0,0
"4769","MF140435","Pseudomonadota",0,0
"4770","MF141539","Pseudomonadota",0,0
"4771","MF141540","Pseudomonadota",0,0
"4772","MF150911","Actinomycetota",0,0
"4773","MF153391","Actinomycetota",0,0
"4774","MF155936","Pseudomonadota",0,0
"4775","MF155946","Pseudomonadota",0,0
"4776","MF155947","Pseudomonadota",0,0
"4777","MF156577","Pseudomonadota",1,1
"4778","MF156578","Pseudomonadota",0,0
"4779","MF158036","Actinomycetota",0,0
"4780","MF158037","Actinomycetota",0,0
"4781","MF161328","Pseudomonadota",0,0
"4782","MF166859","Actinomycetota",0,0
"4783","MF172979","Pseudomonadota",0,0
"4784","MF176161","Pseudomonadota",0,0
"4785","MF185717","Pseudomonadota",0,0
"4786","MF185718","Pseudomonadota",0,0
"4787","MF185719","Pseudomonadota",0,0
"4788","MF185720","Pseudomonadota",0,0
"4789","MF185721","Pseudomonadota",0,0
"4790","MF185722","Pseudomonadota",0,0
"4791","MF185723","Pseudomonadota",0,0
"4792","MF185724","Pseudomonadota",0,0
"4793","MF185725","Pseudomonadota",0,0
"4794","MF185726","Pseudomonadota",0,0
"4795","MF185727","Pseudomonadota",0,0
"4796","MF185728","Pseudomonadota",0,0
"4797","MF185729","Pseudomonadota",0,0
"4798","MF185730","Pseudomonadota",0,0
"4799","MF185731","Pseudomonadota",0,0
"4800","MF185732","Pseudomonadota",0,0
"4801","MF185733","Pseudomonadota",0,0
"4802","MF188997","Actinomycetota",0,0
"4803","MF189170","Pseudomonadota",0,0
"4804","MF189171","Pseudomonadota",0,0
"4805","MF189172","Pseudomonadota",0,0
"4806","MF189173","Pseudomonadota",0,0
"4807","MF189174","Pseudomonadota",0,0
"4808","MF189175","Pseudomonadota",0,0
"4809","MF189176","Pseudomonadota",0,0
"4810","MF189177","Pseudomonadota",0,0
"4811","MF189178","Pseudomonadota",0,0
"4812","MF189179","Pseudomonadota",0,0
"4813","MF190168","Pseudomonadota",0,0
"4814","MF197383","Pseudomonadota",0,0
"4815","MF276773","Actinomycetota",0,0
"4816","MF278336","Actinomycetota",0,0
"4817","MF281061","Pseudomonadota",0,0
"4818","MF285615","Actinomycetota",0,0
"4819","MF285616","Actinomycetota",0,0
"4820","MF285617","Actinomycetota",0,0
"4821","MF285618","Actinomycetota",0,0
"4822","MF285619","Actinomycetota",0,0
"4823","MF285620","Actinomycetota",0,0
"4824","MF288917","Pseudomonadota",0,0
"4825","MF288918","Pseudomonadota",0,0
"4826","MF288919","Pseudomonadota",0,0
"4827","MF288920","Pseudomonadota",0,0
"4828","MF288922","Pseudomonadota",0,0
"4829","MF319184","Pseudomonadota",0,0
"4830","MF324898","Pseudomonadota",0,0
"4831","MF324899","Pseudomonadota",0,0
"4832","MF324900","Pseudomonadota",0,0
"4833","MF324901","Pseudomonadota",0,0
"4834","MF324902","Pseudomonadota",0,0
"4835","MF324903","Pseudomonadota",0,0
"4836","MF324904","Pseudomonadota",0,0
"4837","MF324905","Pseudomonadota",0,0
"4838","MF324906","Pseudomonadota",0,0
"4839","MF324907","Pseudomonadota",0,0
"4840","MF324908","Pseudomonadota",0,0
"4841","MF324909","Pseudomonadota",0,0
"4842","MF324910","Pseudomonadota",0,0
"4843","MF324911","Pseudomonadota",0,0
"4844","MF324912","Pseudomonadota",0,0
"4845","MF324913","Pseudomonadota",0,0
"4846","MF324914","Pseudomonadota",0,0
"4847","MF324915","Pseudomonadota",0,0
"4848","MF346584","Actinomycetota",0,0
"4849","MF346933","Pseudomonadota",0,0
"4850","MF347636","Pseudomonadota",0,0
"4851","MF347637","Pseudomonadota",0,0
"4852","MF347638","Pseudomonadota",0,0
"4853","MF347639","Pseudomonadota",0,0
"4854","MF351863","Pseudomonadota",0,0
"4855","MF356679","Actinomycetota",0,0
"4856","MF358541","Pseudomonadota",0,0
"4857","MF358542","Pseudomonadota",0,0
"4858","MF360957","Pseudomonadota",0,0
"4859","MF361639","Pseudomonadota",0,0
"4860","MF370225","Actinomycetota",0,0
"4861","MF370964","Actinomycetota",0,0
"4862","MF370965","Actinomycetota",0,0
"4863","MF373840","Pseudomonadota",0,0
"4864","MF373841","Pseudomonadota",0,0
"4865","MF373842","Pseudomonadota",0,0
"4866","MF373843","Pseudomonadota",0,0
"4867","MF374379","Actinomycetota",0,0
"4868","MF375456","Actinomycetota",0,0
"4869","MF377440","Pseudomonadota",0,0
"4870","MF377441","Pseudomonadota",0,0
"4871","MF377442","Pseudomonadota",0,0
"4872","MF398190","Pseudomonadota",0,0
"4873","MF402939","Actinomycetota",0,0
"4874","MF403005","Actinomycetota",0,0
"4875","MF403006","Actinomycetota",0,0
"4876","MF403007","Actinomycetota",0,0
"4877","MF403008","Actinomycetota",0,0
"4878","MF403009","Actinomycetota",0,0
"4879","MF405094","Pseudomonadota",0,0
"4880","MF407276","Pseudomonadota",3,1
"4881","MF415410","Actinomycetota",0,0
"4882","MF415411","Actinomycetota",0,0
"4883","MF415412","Actinomycetota",0,0
"4884","MF415413","Actinomycetota",0,0
"4885","MF418016","Pseudomonadota",0,0
"4886","MF422185","Pseudomonadota",0,0
"4887","MF428478","Pseudomonadota",0,0
"4888","MF428479","Pseudomonadota",0,0
"4889","MF428481","Pseudomonadota",0,0
"4890","MF431252","Actinomycetota",0,0
"4891","MF431615","Actinomycetota",0,0
"4892","MF431616","Actinomycetota",0,0
"4893","MF431617","Actinomycetota",0,0
"4894","MF431726","Actinomycetota",0,0
"4895","MF431730","Actinomycetota",0,0
"4896","MF431737","Actinomycetota",0,0
"4897","MF443119","Pseudomonadota",0,0
"4898","MF443120","Pseudomonadota",0,0
"4899","MF443121","Pseudomonadota",0,0
"4900","MF443122","Pseudomonadota",0,0
"4901","MF443123","Pseudomonadota",0,0
"4902","MF443124","Pseudomonadota",0,0
"4903","MF443125","Pseudomonadota",0,0
"4904","MF443126","Pseudomonadota",0,0
"4905","MF448340","Actinomycetota",0,0
"4906","MF448554","Pseudomonadota",0,0
"4907","MF448555","Pseudomonadota",0,0
"4908","MF448556","Pseudomonadota",0,0
"4909","MF448557","Pseudomonadota",0,0
"4910","MF448558","Pseudomonadota",0,0
"4911","MF448559","Pseudomonadota",0,0
"4912","MF448560","Pseudomonadota",0,0
"4913","MF448561","Pseudomonadota",0,0
"4914","MF448562","Pseudomonadota",0,0
"4915","MF448563","Pseudomonadota",0,0
"4916","MF448564","Pseudomonadota",0,0
"4917","MF448565","Pseudomonadota",0,0
"4918","MF448566","Pseudomonadota",0,0
"4919","MF448567","Pseudomonadota",0,0
"4920","MF448568","Pseudomonadota",0,0
"4921","MF448569","Pseudomonadota",0,0
"4922","MF448570","Pseudomonadota",0,0
"4923","MF448571","Pseudomonadota",0,0
"4924","MF448572","Pseudomonadota",0,0
"4925","MF459646","Actinomycetota",0,0
"4926","MF459647","Actinomycetota",0,0
"4927","MF467948","Pseudomonadota",0,0
"4928","MF467949","Pseudomonadota",0,0
"4929","MF472892","Pseudomonadota",0,0
"4930","MF472893","Pseudomonadota",0,0
"4931","MF472894","Pseudomonadota",0,0
"4932","MF472895","Pseudomonadota",0,0
"4933","MF472896","Pseudomonadota",0,0
"4934","MF476924","Actinomycetota",0,0
"4935","MF476925","Actinomycetota",0,0
"4936","MF477236","Pseudomonadota",0,0
"4937","MF479730","Actinomycetota",0,0
"4938","MF481197","Actinomycetota",0,0
"4939","MF490236","Actinomycetota",0,0
"4940","MF490237","Actinomycetota",0,0
"4941","MF490238","Actinomycetota",0,0
"4942","MF490239","Actinomycetota",0,0
"4943","MF490240","Actinomycetota",0,0
"4944","MF490241","Actinomycetota",0,0
"4945","MF497422","Actinomycetota",0,0
"4946","MF498773","Actinomycetota",0,0
"4947","MF498775","Actinomycetota",0,0
"4948","MF498901","Pseudomonadota",0,0
"4949","MF537628","Pseudomonadota",0,0
"4950","MF541403","Pseudomonadota",0,0
"4951","MF541404","Pseudomonadota",0,0
"4952","MF541405","Pseudomonadota",0,0
"4953","MF541406","Pseudomonadota",0,0
"4954","MF541407","Pseudomonadota",0,0
"4955","MF541408","Pseudomonadota",0,0
"4956","MF541409","Pseudomonadota",0,0
"4957","MF541410","Pseudomonadota",0,0
"4958","MF547662","Pseudomonadota",0,0
"4959","MF547663","Pseudomonadota",0,0
"4960","MF564201","Actinomycetota",0,0
"4961","MF574151","Actinomycetota",0,0
"4962","MF580410","Pseudomonadota",0,0
"4963","MF580759","Pseudomonadota",0,0
"4964","MF580760","Pseudomonadota",0,0
"4965","MF580761","Pseudomonadota",0,0
"4966","MF580762","Pseudomonadota",0,0
"4967","MF580763","Pseudomonadota",0,0
"4968","MF580764","Pseudomonadota",0,0
"4969","MF580765","Pseudomonadota",0,0
"4970","MF580766","Pseudomonadota",0,0
"4971","MF580767","Pseudomonadota",0,0
"4972","MF580769","Pseudomonadota",0,0
"4973","MF580770","Pseudomonadota",0,0
"4974","MF580771","Pseudomonadota",0,0
"4975","MF580772","Pseudomonadota",0,0
"4976","MF580774","Pseudomonadota",0,0
"4977","MF580775","Pseudomonadota",0,0
"4978","MF580955","Pseudomonadota",0,0
"4979","MF580956","Pseudomonadota",0,0
"4980","MF580957","Pseudomonadota",0,0
"4981","MF580958","Pseudomonadota",0,0
"4982","MF580959","Pseudomonadota",0,0
"4983","MF580960","Pseudomonadota",0,0
"4984","MF580961","Pseudomonadota",0,0
"4985","MF580962","Pseudomonadota",0,0
"4986","MF595878","Pseudomonadota",0,0
"4987","MF612071","Actinomycetota",0,0
"4988","MF612072","Actinomycetota",0,0
"4989","MF612073","Actinomycetota",0,0
"4990","MF614100","Actinomycetota",0,0
"4991","MF614627","Actinomycetota",0,0
"4992","MF614628","Actinomycetota",0,0
"4993","MF621978","Actinomycetota",0,0
"4994","MF623055","Actinomycetota",0,0
"4995","MF629150","Pseudomonadota",0,0
"4996","MF630921","Actinomycetota",0,0
"4997","MF630922","Actinomycetota",0,0
"4998","MF663761","Actinomycetota",0,0
"4999","MF663786","Actinomycetota",0,0
"5000","MF668266","Pseudomonadota",0,0
"5001","MF668267","Pseudomonadota",0,0
"5002","MF668268","Pseudomonadota",0,0
"5003","MF668269","Pseudomonadota",0,0
"5004","MF668270","Pseudomonadota",0,0
"5005","MF668271","Pseudomonadota",0,0
"5006","MF668272","Pseudomonadota",0,0
"5007","MF668273","Pseudomonadota",0,0
"5008","MF668274","Pseudomonadota",0,0
"5009","MF668275","Pseudomonadota",0,0
"5010","MF668276","Pseudomonadota",0,0
"5011","MF668277","Pseudomonadota",0,0
"5012","MF668278","Pseudomonadota",0,0
"5013","MF668279","Pseudomonadota",0,0
"5014","MF668280","Pseudomonadota",0,0
"5015","MF668281","Pseudomonadota",0,0
"5016","MF668282","Pseudomonadota",0,0
"5017","MF668283","Pseudomonadota",0,0
"5018","MF668284","Pseudomonadota",0,0
"5019","MF668285","Pseudomonadota",0,0
"5020","MF668286","Pseudomonadota",0,0
"5021","MF668287","Pseudomonadota",0,0
"5022","MF668288","Pseudomonadota",0,0
"5023","MF678788","Pseudomonadota",0,0
"5024","MF678789","Pseudomonadota",0,0
"5025","MF678790","Pseudomonadota",0,0
"5026","MF681663","Actinomycetota",0,0
"5027","MF683623","Actinomycetota",0,0
"5028","MF695815","Actinomycetota",0,0
"5029","MF716957","Actinomycetota",0,0
"5030","MF740800","Actinomycetota",0,0
"5031","MF754111","Actinomycetota",0,0
"5032","MF754112","Actinomycetota",0,0
"5033","MF754113","Actinomycetota",0,0
"5034","MF754114","Actinomycetota",0,0
"5035","MF754115","Actinomycetota",0,0
"5036","MF754116","Actinomycetota",0,0
"5037","MF765814","Pseudomonadota",0,0
"5038","MF766044","Pseudomonadota",0,0
"5039","MF766045","Pseudomonadota",0,0
"5040","MF766046","Pseudomonadota",0,0
"5041","MF766047","Pseudomonadota",0,0
"5042","MF766048","Pseudomonadota",0,0
"5043","MF768469","Actinomycetota",0,0
"5044","MF768470","Actinomycetota",0,0
"5045","MF773750","Pseudomonadota",0,0
"5046","MF775669","Pseudomonadota",0,0
"5047","MF775670","Pseudomonadota",0,0
"5048","MF775672","Pseudomonadota",0,0
"5049","MF775675","Pseudomonadota",0,0
"5050","MF775677","Pseudomonadota",0,0
"5051","MF775679","Pseudomonadota",0,0
"5052","MF775680","Pseudomonadota",0,0
"5053","MF775681","Pseudomonadota",0,0
"5054","MF775682","Pseudomonadota",0,0
"5055","MF775686","Pseudomonadota",0,0
"5056","MF775688","Pseudomonadota",0,0
"5057","MF775691","Pseudomonadota",0,0
"5058","MF775692","Pseudomonadota",0,0
"5059","MF775693","Pseudomonadota",0,0
"5060","MF775695","Pseudomonadota",0,0
"5061","MF775698","Pseudomonadota",0,0
"5062","MF775699","Pseudomonadota",0,0
"5063","MF775705","Pseudomonadota",0,0
"5064","MF787246","Pseudomonadota",2,1
"5065","MF788075","Actinomycetota",0,0
"5066","MF805716","Actinomycetota",0,0
"5067","MF805809","Actinomycetota",0,0
"5068","MF807953","Actinomycetota",0,0
"5069","MF893271","Pseudomonadota",0,0
"5070","MF893340","Actinomycetota",0,0
"5071","MF893341","Actinomycetota",0,0
"5072","MF919490","Pseudomonadota",0,0
"5073","MF919491","Pseudomonadota",0,0
"5074","MF919492","Pseudomonadota",0,0
"5075","MF919493","Pseudomonadota",0,0
"5076","MF919494","Pseudomonadota",0,0
"5077","MF919495","Pseudomonadota",0,0
"5078","MF919496","Pseudomonadota",0,0
"5079","MF919497","Pseudomonadota",0,0
"5080","MF919498","Pseudomonadota",0,0
"5081","MF919499","Pseudomonadota",0,0
"5082","MF919500","Pseudomonadota",0,0
"5083","MF919501","Pseudomonadota",0,0
"5084","MF919502","Pseudomonadota",0,0
"5085","MF919503","Pseudomonadota",0,0
"5086","MF919504","Pseudomonadota",0,0
"5087","MF919505","Pseudomonadota",0,0
"5088","MF919506","Pseudomonadota",0,0
"5089","MF919507","Pseudomonadota",0,0
"5090","MF919508","Pseudomonadota",0,0
"5091","MF919509","Pseudomonadota",0,0
"5092","MF919510","Pseudomonadota",0,0
"5093","MF919511","Pseudomonadota",0,0
"5094","MF919512","Pseudomonadota",0,0
"5095","MF919513","Pseudomonadota",0,0
"5096","MF919514","Pseudomonadota",0,0
"5097","MF919515","Pseudomonadota",0,0
"5098","MF919516","Pseudomonadota",0,0
"5099","MF919517","Pseudomonadota",0,0
"5100","MF919518","Pseudomonadota",0,0
"5101","MF919519","Pseudomonadota",0,0
"5102","MF919520","Pseudomonadota",0,0
"5103","MF919521","Pseudomonadota",0,0
"5104","MF919522","Pseudomonadota",0,0
"5105","MF919523","Pseudomonadota",0,0
"5106","MF919524","Pseudomonadota",0,0
"5107","MF919525","Pseudomonadota",0,0
"5108","MF919526","Pseudomonadota",0,0
"5109","MF919527","Pseudomonadota",0,0
"5110","MF919528","Pseudomonadota",0,0
"5111","MF919529","Pseudomonadota",0,0
"5112","MF919530","Pseudomonadota",0,0
"5113","MF919531","Pseudomonadota",0,0
"5114","MF919532","Pseudomonadota",0,0
"5115","MF919533","Pseudomonadota",0,0
"5116","MF919534","Pseudomonadota",0,0
"5117","MF919535","Pseudomonadota",0,0
"5118","MF919536","Pseudomonadota",0,0
"5119","MF919537","Pseudomonadota",0,0
"5120","MF919538","Pseudomonadota",0,0
"5121","MF919539","Pseudomonadota",0,0
"5122","MF919540","Pseudomonadota",0,0
"5123","MF919541","Pseudomonadota",0,0
"5124","MF919542","Pseudomonadota",0,0
"5125","MF939898","Pseudomonadota",0,0
"5126","MF957259","Actinomycetota",0,0
"5127","MF959998","Actinomycetota",0,0
"5128","MF959999","Actinomycetota",0,0
"5129","MF974178","Actinomycetota",0,0
"5130","MF974396","Pseudomonadota",0,0
"5131","MF974397","Pseudomonadota",0,0
"5132","MF975637","Pseudomonadota",0,0
"5133","MF975638","Pseudomonadota",0,0
"5134","MF975720","Actinomycetota",0,0
"5135","MF975721","Actinomycetota",0,0
"5136","MF979559","Actinomycetota",0,0
"5137","MF979560","Actinomycetota",0,0
"5138","MF979561","Actinomycetota",0,0
"5139","MF979562","Actinomycetota",0,0
"5140","MF979563","Actinomycetota",0,0
"5141","MF979564","Actinomycetota",0,0
"5142","MF988720","Actinomycetota",2,1
"5143","MF996376","Actinomycetota",0,0
"5144","MF999224","Pseudomonadota",0,0
"5145","MG000860","Pseudomonadota",0,0
"5146","MG004687","Actinomycetota",0,0
"5147","MG009575","Pseudomonadota",0,0
"5148","MG018224","Actinomycetota",0,0
"5149","MG018926","Actinomycetota",0,0
"5150","MG018927","Actinomycetota",0,0
"5151","MG018928","Actinomycetota",0,0
"5152","MG018929","Actinomycetota",0,0
"5153","MG018930","Actinomycetota",1,1
"5154","MG020111","Pseudomonadota",0,0
"5155","MG029509","Pseudomonadota",0,0
"5156","MG029510","Pseudomonadota",0,0
"5157","MG029511","Pseudomonadota",0,0
"5158","MG029513","Pseudomonadota",0,0
"5159","MG029514","Pseudomonadota",0,0
"5160","MG029518","Pseudomonadota",0,0
"5161","MG030346","Actinomycetota",0,0
"5162","MG030347","Actinomycetota",0,0
"5163","MG050172","Actinomycetota",0,0
"5164","MG065635","Pseudomonadota",0,0
"5165","MG065636","Pseudomonadota",0,0
"5166","MG065637","Pseudomonadota",0,0
"5167","MG065639","Pseudomonadota",0,0
"5168","MG065640","Pseudomonadota",0,0
"5169","MG065641","Pseudomonadota",0,0
"5170","MG065642","Pseudomonadota",0,0
"5171","MG065643","Pseudomonadota",0,0
"5172","MG065644","Pseudomonadota",0,0
"5173","MG065645","Pseudomonadota",0,0
"5174","MG065646","Pseudomonadota",0,0
"5175","MG065647","Pseudomonadota",0,0
"5176","MG065648","Pseudomonadota",0,0
"5177","MG065649","Pseudomonadota",0,0
"5178","MG065650","Pseudomonadota",0,0
"5179","MG065652","Pseudomonadota",0,0
"5180","MG065653","Pseudomonadota",0,0
"5181","MG065654","Pseudomonadota",0,0
"5182","MG065655","Pseudomonadota",0,0
"5183","MG065656","Pseudomonadota",0,0
"5184","MG065657","Pseudomonadota",0,0
"5185","MG065658","Pseudomonadota",0,0
"5186","MG065659","Pseudomonadota",0,0
"5187","MG065661","Pseudomonadota",0,0
"5188","MG065662","Pseudomonadota",0,0
"5189","MG065663","Pseudomonadota",0,0
"5190","MG065664","Pseudomonadota",0,0
"5191","MG065665","Pseudomonadota",0,0
"5192","MG065666","Pseudomonadota",0,0
"5193","MG065667","Pseudomonadota",0,0
"5194","MG065668","Pseudomonadota",0,0
"5195","MG065669","Pseudomonadota",0,0
"5196","MG065670","Pseudomonadota",0,0
"5197","MG065671","Pseudomonadota",0,0
"5198","MG065672","Pseudomonadota",0,0
"5199","MG065674","Pseudomonadota",0,0
"5200","MG065675","Pseudomonadota",0,0
"5201","MG065676","Pseudomonadota",0,0
"5202","MG065677","Pseudomonadota",0,0
"5203","MG065679","Pseudomonadota",0,0
"5204","MG065680","Pseudomonadota",0,0
"5205","MG065681","Pseudomonadota",0,0
"5206","MG065682","Pseudomonadota",0,0
"5207","MG065684","Pseudomonadota",0,0
"5208","MG065687","Pseudomonadota",0,0
"5209","MG065688","Pseudomonadota",0,0
"5210","MG065689","Pseudomonadota",0,0
"5211","MG065690","Pseudomonadota",0,0
"5212","MG065692","Pseudomonadota",0,0
"5213","MG099933","Actinomycetota",0,0
"5214","MG099934","Pseudomonadota",0,0
"5215","MG099935","Pseudomonadota",0,0
"5216","MG099936","Pseudomonadota",0,0
"5217","MG099937","Pseudomonadota",0,0
"5218","MG099938","Pseudomonadota",0,0
"5219","MG099939","Pseudomonadota",0,0
"5220","MG099940","Pseudomonadota",0,0
"5221","MG099941","Pseudomonadota",0,0
"5222","MG099942","Pseudomonadota",0,0
"5223","MG099943","Pseudomonadota",0,0
"5224","MG099944","Pseudomonadota",0,0
"5225","MG099945","Pseudomonadota",0,0
"5226","MG099946","Pseudomonadota",0,0
"5227","MG099947","Pseudomonadota",0,0
"5228","MG099948","Pseudomonadota",0,0
"5229","MG099949","Pseudomonadota",0,0
"5230","MG099950","Pseudomonadota",0,0
"5231","MG099951","Pseudomonadota",0,0
"5232","MG099952","Pseudomonadota",0,0
"5233","MG099953","Pseudomonadota",0,0
"5234","MG159787","Actinomycetota",0,0
